status,source_file,target_file,key_path,english_value,zh_value
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.account_sharings,Account sharing,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.account_statements,Statement vault,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.accounts,Accounts,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.ai_prompts,AI Prompts,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.api_key,API Key,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.api_keys,API Keys,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.appearance,Appearance,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.appearances,Appearance,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.bank_sync,Bank Sync,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.binance_items,Binance,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.brex_items,Brex,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.budget_categories,Budget categories,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.budgets,Budgets,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.categories,Categories,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.categorize,Categorize,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.chats,Chats,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.coinbase_items,Coinbase,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.coinstats_items,CoinStats,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.credit_cards,Credit cards,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.cryptos,Crypto,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.dashboard,Dashboard,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.debug,Debug,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.debugs,Debug,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.depositories,Cash accounts,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.enable_banking_items,Enable Banking,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.family_exports,Exports,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.family_merchants,Merchants,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.guides,Guides,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.holdings,Holdings,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.hostings,Self-Hosting,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.ibkr_items,Interactive Brokers,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.impersonation_sessions,Impersonations,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.indexa_capital_items,Indexa Capital,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.intro,Intro,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.investments,Investments,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.invitations,Invitations,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.invite_codes,Invite codes,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.kraken_items,Kraken,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.llm_usage,LLM Usage,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.llm_usages,LLM Usage,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.loans,Loans,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.lunchflow_items,Lunch Flow,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.merchants,Merchants,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.mercury_items,Mercury,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.messages,Messages,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.mfa,Two-factor authentication,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.oidc_accounts,SSO accounts,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.onboardings,Onboarding,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.other_assets,Other assets,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.other_liabilities,Other liabilities,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.payments,Payments,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.pending_duplicate_merges,Duplicate review,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.plaid_items,Plaid,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.preferences,Preferences,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.profile,Profile Info,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.profiles,Profile Info,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.properties,Properties,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.providers,Providers,
missing,config/locales/breadcrumbs/en.yml,config/locales/breadcrumbs/zh-CN.yml,breadcrumbs.recurring_transactions,Recurring,
